agg_id,treat,prop_score,fu_survey_year,hhinc_yrly_end,profits_yrly_end,rev_yrly_end,exp_yrly_end,hhexp_yrly_end,loan_size,prinpaid,interest_rate,repaytime,intpaid,penalty,paid_total,net_revenue,css_creditscorefinal,css_yearsataddress,own_house,sari,own_anybus,max_yearsinbusiness,css_regularworkers,css_traveltime,css_travelcost,css_stockvalue,css_assetvalue,css_noofbusiness,lower_window,app_year,hhsize,age,gender,education,married,savingsamt,hhinc_yrly_base,profits_yrly_base,rev_yrly_base,exp_yrly_base,hhexp_yrly_base,hhasset_yrly_base,revenue_fees,revenue_interest,log_hhinc,default_value,high_school,college,bank_profits_level,bank_profits_pp
319740,1,0.8434873949579832,2008,89842.5,89842.5,225000,135157.5,6750,1250,20000,30,1,1516.71,0,21516.71,94.794375,48,5,1,0,1,5,3,2,0,7000,30000,1,0,2007,4,35,1,1,1,5000,34218.75,205312.5,336256.25,130943.75,5175,1062.5,1.301224315068751,93.49315068493125,11.405824546801295,-0,1,1,-2.6620135703363985,17.62838966331706
319760,1,0.8434873949579832,2008,38625,38625,202500,163875,11250,0,NA,NA,1,NA,NA,NA,0,56,15,1,1,1,10,0,10,14,70000,20000,1,0,2007,2,50,1,1,1,0,34218.75,205312.5,370703.125,165390.625,4762.5,10843.75,0,0,10.561680903832544,-0,1,1,0,0
320222,1,0.8434873949579832,2007,34500,34500,162750,87750,4500,1500,24000,30,1,3080,0,27080,192.5,58,25,1,0,1,12,5,10,16,12000,60000,1,0,2006,5,48,1,1,1,0,36119.791666666664,216718.75,343556.25,126837.5,7087.5,1687.5,2.6369863013700012,189.86301369863,10.448743588106625,-0,1,1,81.7936114296636,25.638172996650393
320533,1,0.8434873949579832,2007,9000,9000,22500,6273.75,2250,0,NA,NA,1,NA,NA,NA,0,56,30,1,1,1,3,0,30,30,7000,15000,1,0,2006,3,56,1,1,1,0,11406.25,68437.5,102656.25,34218.75,780.75,1737.5,0,0,9.105090961257085,-0,1,1,0,0
320539,0,0.8434873949579832,2007,23250,23250,56250,10387.5,4875,0,NA,NA,1,NA,NA,NA,0,53,34,0,0,1,10,0,10,14,4000,20000,1,0,2006,4,34,0,1,1,0,15208.333333333334,91250,136875,45625,2250,1206.25,0,0,10.054103420843255,-0,1,1,0,0
320542,1,0.546583850931677,2007,4125,4125,13125,12750,6975,0,NA,NA,1,NA,NA,NA,0,42,4,0,0,0,4,0,10,30,12000,17000,1,1,2006,6,40,0,3,1,0,6463.541666666667,38781.25,43343.75,4562.5,4912.5,1000,0,0,8.325063693631197,-0,0,0,0,0
320547,0,0.8434873949579832,2008,3900,3900,13500,9600,4500,0,NA,NA,1,NA,NA,NA,0,53,17,1,1,1,6,0,10,20,10000,15000,1,0,2007,3,41,1,2,1,0,16835.625,101013.75,181815.625,80801.875,2625,5468.75,0,0,8.268988209506656,-0,1,0,0,0
320548,1,0.8434873949579832,2007,7875,7875,56250,11202.75,6000,625,10000,30,1,758.29,0,10758.29,47.39312500000006,53,6,1,0,1,4,0,10,12,8100,100000,1,0,2006,5,51,1,1,1,0,9505.208333333334,57031.25,91250,34218.75,1650,10750,0.6465496575343082,46.74657534246575,8.971575439759016,-0,1,1,-16.938263570336346,1.0677396633170702
320549,0,0.8434873949579832,2007,4500,4500,0,1500,6750,0,NA,NA,1,NA,NA,NA,0,56,7,1,1,1,7,0,30,25,20000,30000,1,0,2006,3,41,1,2,1,0,26614.583333333332,159687.5,285156.25,125468.75,1500,1843.75,0,0,8.412054873292933,-0,1,0,0,0
320555,1,0.8434873949579832,2007,1875,1875,5625,3750,6750,312.5,5000,30,1,379.21,0.85,5380.06,23.75375,56,17,1,1,1,17,0,20,20,12000,20000,1,0,2006,4,49,1,2,1,0,15208.333333333334,91250,164250,73000,2122.5,1368.75,0.3804623287671234,23.373287671232877,7.53689712956617,-0,1,0,-24.015138570336404,-32.03396033668294
320558,1,0.8434873949579832,2007,14205,14205,33750,19545,3375,312.5,5000,30,1,379.21,0,5379.21,23.700625,47,7,1,1,1,6,0,10,16,30000,8000,1,0,2006,3,31,1,2,1,0,11406.25,68437.5,124100,55662.5,3412.5,9375,0.32733732876712196,23.373287671232877,9.561419689557756,-0,1,0,-24.0682635703364,-32.050960336682934
320561,1,0.8434873949579832,2007,2812.5,2812.5,9000,7125,5812.5,562.5,9000,30,1,682.5,0.32,9682.82,42.67625,51,12,1,0,1,20,2,15,30,20000,30000,1,0,2006,5,46,0,2,1,0,0,0,0,0,2137.5,2000,0.6043321917808129,42.07191780821919,7.942184538873334,-0,1,0,-18.34263857033639,-2.608271447794049
320562,0,0.8434873949579832,2007,75000,75000,337500,252842.25,11250,0,NA,NA,1,NA,NA,NA,0,51,14,1,0,1,10,0,20,16,20000,15000,1,0,2006,5,50,1,3,1,0,26614.583333333332,159687.5,285156.25,125468.75,2062.5,1750,0,0,11.225256725762893,-0,0,0,0,0
320564,1,0.546583850931677,2007,31500,31500,85500,54099,22500,562.5,9000,30,1,682.5,0.53,9683.03,42.68937500000006,42,18,0,0,1,17,0,20,16,20000,10000,1,1,2006,7,52,1,2,1,0,30416.666666666668,182500,331921.875,149421.875,4387.5,2250,0.617457191780872,42.07191780821919,10.357774570341576,-0,1,0,-18.32951357033633,-2.6059381144607094
320567,1,0.8434873949579832,2007,2250,2250,27900,17383.5,11250,625,10000,30,1,759.33,0,10759.33,47.458125,48,4,1,1,1,3,0,15,30,80000,35000,1,0,2006,1,48,1,2,1,0,22812.5,136875,246375,109500,4762.5,6687.5,0.711549657534249,46.74657534246575,7.719129840906732,-0,1,0,-16.873263570336405,1.0781396633170566
320568,1,0.8434873949579832,2007,14625,14625,68250,55087.5,4950,625,10000,30,1,762.42,2.95,10765.37,47.835625000000064,51,19,1,0,1,18,2,15,30,30000,12000,1,0,2006,2,47,1,2,1,0,0,0,0,0,2212.5,1887.5,1.0890496575343107,46.74657534246575,9.590556045830896,-0,1,0,-16.49576357033635,1.1385396633170686
320569,1,0.8434873949579832,2007,3375,3375,18000,26775,2625,437.5,6999,30,1,285.81,200.54,7485.35,30.334375,46,15,1,1,1,14,0,15,20,20000,10000,1,0,2006,1,48,1,1,0,0,15208.333333333334,91250,164592.1875,73342.1875,2587.5,1325,-0,30.334375,8.124446855715847,-0,1,1,-24.059513570336406,-13.775874622397229
320570,1,0.8434873949579832,2007,7500,7500,90000,34575,2250,0,NA,NA,1,NA,NA,NA,0,49,27,1,1,1,5,0,20,70,15000,10000,1,0,2006,2,27,0,1,1,0,15208.333333333334,91250,164592.1875,73342.1875,3937.5,1787.5,0,0,8.922791623969637,-0,1,1,0,0
320571,1,0.546583850931677,2007,7710,7710,22500,14790,2250,0,NA,NA,1,NA,NA,NA,0,43,49,1,1,1,16,0,20,70,20000,15000,1,1,2006,4,49,1,1,0,0,15208.333333333334,91250,164592.1875,73342.1875,4237.5,2125,0,0,8.95040315983296,-0,1,1,0,0
320575,1,0.8434873949579832,2007,1125,1125,1125,4125,3150,625,9999,30,1,716.57,243.11,10958.68,59.9175,52,8,1,0,1,7,0,15,12,10000,6000,1,0,2006,4,31,1,1,1,0,13307.291666666666,79843.75,129460.9375,49617.1875,3300,2812.5,13.170924657534243,46.74657534246575,7.026426808699636,-0,1,1,-4.413888570336411,3.071639663317054
320576,1,0.8434873949579832,2007,5625,5625,6150,2797.5,1275,312.5,5000,30,1,407.28,19.04,5426.32,26.645,49,14,1,1,1,12,0,15,12,10000,12000,1,0,2006,1,48,1,2,1,0,11406.25,68437.5,123529.6875,55092.1875,2212.5,937.5,3.271712328767123,23.373287671232877,8.635153989049803,-0,1,0,-21.12388857033639,-31.10876033668293
320578,1,0.8434873949579832,2007,1875,1875,3750,4125,7500,0,NA,NA,1,NA,NA,NA,0,50,16,1,0,1,3,0,15,20,20000,10000,1,0,2006,5,39,1,2,1,0,0,0,0,0,1687.5,1281.25,0,0,7.53689712956617,-0,1,0,0,0
